StatLevel/internal05,"老陽"
Story/D_2_2_6_5_074,"嗯，那我走了。"
Story/D_2_2_6_5_073,"好，要是吃起來味道不對勁，一定要扔掉啊。 不然會吃壞肚子的。"
Story/D_2_2_6_5_072,"多謝師兄，我會珍惜吃的。"
Story/T_2_2_6_5_002,"啊，終於開懷笑了。"
Story/D_2_2_6_5_071,"～～！"
Story/D_2_2_6_5_070,"只是天氣漸漸熱了，我怕壞掉。 每到鄉村鎮子，就會去市集買冰，用油布隔著冰鎮。 就不知蜜煎果子壞掉了沒有。"
Story/D_2_2_6_5_069,"可累壞我了，從沒試過這樣十二時辰都在運功的。 妳也知道，我內功修為粗淺的很，都是自己練的，效果大概不好。 就不知蜜煎果子壞掉了沒有。"
Story/D_2_2_6_5_068,"天氣漸漸熱了，我怕壞掉， 一路上兜在懷裡，用內功涼鎮。"
Story/D_2_2_6_5_067,"我有證據的。 雖說熱菜、生鮮水果帶不回來， 但是我帶了好多蜜煎果子給妳。"
Story/D_2_2_6_5_066,"我怎麼會不回來呢，外邊再好，這裡才是我的家呀。"
Story/D_2_2_6_5_065,"……我怕你不回來。"
Story/D_2_2_6_5_064,"南宮世家比唐門有錢。 他們說唐門對你不好，你可能更喜歡留在那裡。"
Story/D_2_2_6_5_063,"為啥！我是去赴壽宴啊，還能被怎樣了？ 難道我還能被吃掉嗎？"
Story/D_2_2_6_5_062,"……別的師兄說，你可能不會回來。"
Story/N_2_2_6_5_006,"小師妹搖了搖頭。"
Story/D_2_2_6_5_061,"我這不是才剛回來嗎。"
Story/D_2_2_6_5_060,"那你不會去南宮世家的，對嗎？"
Story/D_2_2_6_5_059,"就是和他們家丁發生了一點衝突。 南宮大公子似乎對我印象不太好。 不過想來他志向遠大，像我這種小人物的事，八成轉眼就忘記了。"
Story/D_2_2_6_5_058,"也不算太壞吧。"
Story/D_2_2_6_5_057,"他們對你很好嗎？"
Story/D_2_2_6_5_056,"我也只知道這樣，實際是哪四司、哪六局我也不知道。 知道了好像也沒用處，反正唐門是很難有這樣的排場。"
Story/D_2_2_6_5_055,"那不是吃的啦，是負責弄吃的人。"
Story/D_2_2_6_5_054,"果子局跟蜜煎局，好像很好吃。"
Story/D_2_2_6_5_053,"四司是帳設司、茶酒司、廚司、臺盤司。 六局為果子局、蜜煎局、菜蔬局、油燭局、香藥局、排辦局。"
Story/D_2_2_6_5_052,"是專門幫官府、富家籌辦宴席的人。"
Story/D_2_2_6_5_051,"什麼是四司六局？"
Story/D_2_2_6_5_050,"南宮世家不愧是武林泰斗，排場大得很。 壽宴來了很多江湖上有名的人，菜式也很多好吃的。 四司六局各有所掌，很是氣派。"
Story/D_2_2_6_5_049,"……。"
Story/D_2_2_6_5_048,"嗯，比山下鎮子還熱鬧多了，路都是石子鋪的。 好多小販在街邊，光天化日也打傘，整個城裡都花花綠綠的。"
Story/D_2_2_6_5_047,"江陵府，很熱鬧嗎？"
Story/D_2_2_6_5_046,"怎麼了嗎？"
Story/N_2_2_6_5_005,"小師妹依然面無表情，仰望著你，似乎欲言又止。"
Story/D_2_2_6_5_045,"這樣啊。"
Story/D_2_2_6_5_044,"其他師兄有給我，沒關係。"
Story/D_2_2_6_5_043,"小、小師妹，我忘了給妳帶色紙。 明日到鎮子上補買，好嗎？"
Story/O_2_2_6_5_002,"啊糟糕，我忘記買色紙了！"
Story/N_2_2_6_5_004,"小師妹收下了色紙，似還欲言又止。"
Story/D_2_2_6_5_042,"謝謝師兄。"
Story/O_2_2_6_5_001,"小師妹，我買了色紙給妳喔。"
Story/D_2_2_6_5_041,"……。"
Story/D_2_2_6_5_040,"……。"
Story/D_2_2_6_5_039,"嗯。"
Story/D_2_2_6_5_038,"小師妹！大師兄他們都先進去了。"
Story/D_2_2_6_5_037,"師兄，你們回來了。"
Story/D_2_2_6_5_036,"那我去見爹了。"
Story/D_2_2_6_5_035,"但是，大家一起出門，很好玩。"
Story/D_2_2_6_5_034,"……一點點。"
Story/D_2_2_6_5_033,"半途有想家嗎？"
Story/D_2_2_6_5_032,"嗯。"
Story/D_2_2_6_5_031,"是呀，這是小師妹妳頭一次出遠門吧。"
Story/D_2_2_6_5_030,"到家了。"
Story/D_2_2_6_5_029,"那倒是。"
Story/D_2_2_6_5_028,"也有好事的吧？南宮世家所捐的善款， 分來也夠咱們全派上下吃穿幾個月了。"
Story/D_2_2_6_5_027,"得和掌門商議一下關於交換弟子這件事。"
Story/D_2_2_6_5_026,"先去向掌門報備，蠢貨。"
Story/D_2_2_6_5_025,"哈～終於到家了，那我出門一下。"
Story/N_2_2_6_5_003,"你們在南宮世家供客留宿的客房住了一晚， 隔日才上馬車啟程回家。"
Story/N_2_2_6_5_002,"那一夜，賓主盡歡，果真熱鬧到天亮。 席間大師兄酒後笑舞狂歌，被二師兄點倒方始罷休。"
Story/D_2_2_6_5_024,"可別忘了咱們的約定唷。 待諸事商議得定，再擇黃道吉日出行。 祝願我江湖兒女，從此再無意氣之爭，人人都能安享晚年。"
Story/D_2_2_6_5_023,"老壽星慢走！"
Story/D_2_2_6_5_022,"諸位朋友，今日已晚，大事商定，大家也鬧騰夠了。 老朽年邁，不勝酒力，這就先去歇了。 還沒盡興的，盡管放開喝，鬧到天明也無妨。"
Story/D_2_2_6_5_021,"謝謝爺爺。"
Story/D_2_2_6_5_020,"好，那便由你，下去吧。"
Story/D_2_2_6_5_019,"孫兒想好了，就、就就是想去。"
Story/D_2_2_6_5_018,"總之不是你想的那樣。"
Story/T_2_2_6_5_001,"螢姊那種，比較好。"
Story/D_2_2_6_5_017,"不不不不不用，不是這樣的爺爺。 我我、我對唐小娘子沒有那種想法，硬要說的話……。"
Story/D_2_2_6_5_016,"你莫非是看上了唐家掌門的掌上明珠嗎？ 哈哈～你小子終於開竅啦，爺爺還以為你長不大呢。 要爺爺找人，替你向唐家掌門說媒嗎？"
Story/D_2_2_6_5_015,"我……我……。"
Story/D_2_2_6_5_014,"淺兒，唐門的日子很清苦，只怕比丐幫好不到哪裡去。 你去了又不能改姓唐，只能做外姓弟子，不單學不到什麼武功，還要做勞役。 你可想清楚了，當真想去嗎？"
Story/D_2_2_6_5_013,"唐門？唐門嗎……。"
Story/D_2_2_6_5_012,"孫兒想想、想去世交之家閱歷一番，不知道可不可以……？"
Story/D_2_2_6_5_011,"……。"
Story/D_2_2_6_5_010,"沒出息，這都要爺爺給你拿主意。 行了，那你走著瞧吧，老朽要把你弄到一個特別不得了的地方去。"
Story/D_2_2_6_5_009,"孫、孫兒去哪都好，還是聽憑爺爺安排好了。"
Story/D_2_2_6_5_008,"不過錦香宮還是不要去了吧，你究竟是男兒身。"
Story/D_2_2_6_5_007,"當然可以！ 嵩山、全真、峨嵋、青城、點蒼、崆峒六大派， 甚至錦香宮都不在話下。"
Story/D_2_2_6_5_006,"我、我真的可以自己選嗎？"
Story/N_2_2_6_5_001,"南宮橫這話，顯是說給各派首腦聽的。 其實用不著他說，又有誰不對這金主的二公子禮遇有加呢？"
Story/D_2_2_6_5_005,"傻孩子，爺爺是讓你自個兒選呢。 你是爺爺的乖孫，南宮世家的二公子。 無論去哪派留學，諸位武林前輩都會賣老朽一個薄面，對你加意關照。"
Story/D_2_2_6_5_004,"孫、孫兒但憑爺爺吩咐，爺爺讓我去哪，孫兒無不遵從。"
Story/D_2_2_6_5_003,"江湖上這麼多好朋友肯賣你爺爺面子。 好孫兒，你可願意作第一個別派的留學生？好為大家拋磚引玉？"
Story/D_2_2_6_5_002,"趙大哥，爺爺叫我，我過去了。"
Story/D_2_2_6_5_001,"淺兒，你跑哪兒去了？過來爺爺這裡。"
Story/T_2_2_6_4_Break_01_002,"只可惜你想錯了，她除了你大哥之外，誰也不會放在心上。"
Story/D_2_2_6_4_Break_01_025,"我就說吧。真羨慕你，我也想和螢姊關係變好一點。"
Story/D_2_2_6_4_Break_01_024,"確實是曾經同生死共患難的交情。"
Story/D_2_2_6_4_Break_01_023,"交情很深……嗎。"
Story/D_2_2_6_4_Break_01_022,"趙大哥，你不知道，螢姊是個很幹練的人，什麼事都有條不紊。 爹和爺爺都誇她將來會是賢內助，她等閒不會露出緊張的臉色。 她對你那樣，已經算是很難得了，你們想必交情很深。"
Story/D_2_2_6_4_Break_01_021,"她那對我叫做關心嗎？你的標準還真低。"
Story/D_2_2_6_4_Break_01_020,"如果她對我像對你一樣好，那就好了。"
Story/D_2_2_6_4_Break_01_019,"怎麼會呢？她如果不是關心你，怕你得罪我大哥，就不會管你了。"
Story/D_2_2_6_4_Break_01_018,"她最希望的就是把我給毒啞了吧。"
Story/D_2_2_6_4_Break_01_017,"嗯，她朝你使了好幾次眼色，想叫你閉嘴。"
Story/D_2_2_6_4_Break_01_016,"你看出來了？"
Story/D_2_2_6_4_Break_01_015,"趙大哥，你認識螢姊嗎？"
Story/O_2_2_6_4_Break_01_003,"關於上官螢"
Story/D_2_2_6_4_Break_01_014,"唐、唐二俠嗎？好、好，我我我會記住不要反抗他的。"
Story/D_2_2_6_4_Break_01_013,"不過偶爾也會碰釘子就是了。 像我二師兄那種人，你最好是不要想試著反抗他，會出人命的。"
Story/D_2_2_6_4_Break_01_012,"那也沒什麼，坦白說，我也是經常給人欺負的。 雖然不見得每次都敢還手，但還手後往往會發現欺負你的人其實沒多大本事。 都是自己把對頭想像得太可怕了。"
Story/N_2_2_6_4_Break_01_001,"你與南宮淺同病相憐，頗有默契相識一笑，大有相逢恨晚之意。"
Story/D_2_2_6_4_Break_01_011,"我同意，我被人欺負時，也不見得每次都敢還手。 但還手真的很痛快呢，被打總比心理憋屈好。"
Story/D_2_2_6_4_Break_01_010,"說、說得也是！不過我、我有還手。 雖然被打了，但是心情很好。"
Story/D_2_2_6_4_Break_01_009,"我也沒幫上你啊，結果就是我們一起被打而已。"
Story/D_2_2_6_4_Break_01_008,"抱歉，聽我說這些，掃了你的酒興吧。 多謝你幫我，從來沒人幫我，我真的很高興。"
Story/T_2_2_6_4_Break_01_001,"我在唐門的日子也不好過，但好歹是自己選的。 他卻是從頭到尾都身不由己，也是可憐。"
Story/D_2_2_6_4_Break_01_007,"畢竟誰也不想突然有個野孩子冒出來認親吧， 我爹是有身份地位，了不起的人，我可能像是他的汙點之類的。"
Story/D_2_2_6_4_Break_01_006,"如果真的只是把我賣成下人，說不定更好。 那樣就不會人人都看我不順眼了，哈哈……。"
Story/D_2_2_6_4_Break_01_005,"我是那啥，怎麼說呢？憑空冒出來的。 爹本來只有大哥一個兒子，我是七、八歲那年，娘帶著我進來的。 我本來還以為是要把我賣了，哈哈。"
Story/D_2_2_6_4_Break_01_004,"怎麼說？"
Story/D_2_2_6_4_Break_01_003,"嗯，但是……但那是我自己不好。 南宮家的人討厭我，我也可以理解。"
Story/D_2_2_6_4_Break_01_002,"好，下回可沒我幫你，你得硬氣起來，別再給人欺負啦。"
Story/D_2_2_6_4_Break_01_001,"……這種事情不是第一次發生，你大哥也知情，對嗎？"
Story/O_2_2_6_4_Break_01_002,"聊聊方才的事"
Story/O_2_2_6_4_Break_01_001,"結束對話"
Story/D_2_2_6_4_045,"趙大哥請。"
Story/D_2_2_6_4_044,"說得也是。"
Story/D_2_2_6_4_043,"他是我未來夫婿，能對我怎樣？要你多管閒事。"
Story/D_2_2_6_4_042,"有事就叫我，我不會走遠。"
Story/D_2_2_6_4_041,"好。"
Story/D_2_2_6_4_040,"趙活，拜託你多看照阿淺一下。"
Story/D_2_2_6_4_039,"對、對不起，趙大哥，這邊請。"
Story/D_2_2_6_4_038,"你沒一點骨氣的嗎？看了你的窩囊樣就覺得心煩，快走！"
Story/D_2_2_6_4_037,"可是此處的禮物還沒搬完。"
Story/D_2_2_6_4_036,"……阿淺，你送你這位趙兄弟出去吧。 你大哥和我還有話要說。"
Story/D_2_2_6_4_035,"對不起，大哥。"
Story/D_2_2_6_4_034,"阿淺，看看你的好出息，竟向一個形同下人的外人道謝。"
Story/D_2_2_6_4_033,"小事一樁。"
Story/D_2_2_6_4_032,"啊……那個，趙大哥……謝謝你。"
Story/D_2_2_6_4_031,"不必，我自己會走。"
Story/D_2_2_6_4_030,"話說完了，這就請吧，此處不是閣下應該佇足的地方。 來人，送客！"
Story/D_2_2_6_4_029,"好吧。"
Story/T_2_2_6_4_001,"唉，這是上官姑娘的心上人，我不與他爭論便是。"
Story/D_2_2_6_4_028,"趙活，你快住口。"
Story/D_2_2_6_4_027,"大公子，你文質彬彬，這麼說話未免有失身份了吧。"
Story/D_2_2_6_4_026,"那好啊，你請我來，我還不想來呢。"
Story/D_2_2_6_4_025,"不巧，在下很忙，沒有時間理會這種小事。 你若說有，那便有吧，想要多少賠償，走時我交代帳房給你便是。 但你要記住，今日便是你最後一次被南宮世家當作客人。"
Story/N_2_2_6_4_002,"上官螢本沒好氣想唸你一頓，忽然想起未婚夫就在身旁， 便生生將話吞了回去。"
Story/D_2_2_6_4_024,"你這人被打了還這麼理直氣壯的。 沒有受傷……吧……。"
Story/D_2_2_6_4_023,"說反了吧，明顯是我這個客人被你家丁教訓才對。"
Story/D_2_2_6_4_022,"我之所以會在這裡，那還得問你家家丁是怎麼回事。"
Story/D_2_2_6_4_021,"呵，閣下有心了。 可我南宮世家再怎麼樣，也輪不到外人編排。 唐門好大的威風，闖入我家內院，還要代替我管教下人嗎？"
Story/N_2_2_6_4_001,"上官螢向你使了個眼色，示意你不要再說。"
Story/D_2_2_6_4_020,"……。"
Story/D_2_2_6_4_019,"大公子你誤會了，是那兩名惡丁仗著二公子良善可欺， 便使喚他來搬運這些禮物，我看不過去，才和他們起爭執。"
Story/D_2_2_6_4_018,"大公子，依我之見，那並非尋常笑鬧。 貴府的下人狐假虎威，性情驕縱，待客輕慢不提，竟還想騎到主人頭上。 哪有家丁吩咐公子搬貨的道理？我看不過去，這才起的爭執。"
Story/D_2_2_6_4_017,"沒事，阿淺和下人鬧著玩呢。"
Story/D_2_2_6_4_016,"大哥……螢姊。"
Story/D_2_2_6_4_015,"怎麼回事？這般吵鬧。"
Story/D_2_2_6_4_014,"沒！沒的事，我們這就去，這就去。"
Story/D_2_2_6_4_013,"既然沒什麼，就做你的事情去，莫非南宮世家養了閒置的人口嗎？"
Story/D_2_2_6_4_012,"大公子！？沒、沒什麼。"
Story/D_2_2_6_4_011,"你要告什麼狀？"
Story/D_2_2_6_4_010,"你、你們不要得意，等我去跟大公子告狀去！"
Story/D_2_2_6_4_009,"是我們贏了。"
Story/D_2_2_6_4_008,"趙大哥，你贏了！"
Story/D_2_2_6_4_007,"沒！沒的事，我們這就去，這就去。"
Story/D_2_2_6_4_006,"平日裡你們愛打鬧也索罷了，今日太上家主壽宴， 南宮家上下無一人得閒，你們竟還在此嬉鬧，看來是本公子管教無方。"
Story/D_2_2_6_4_005,"大公子！？"
Story/D_2_2_6_4_004,"我道是誰在此處喧鬧，卻原來是些不長眼的下人。"
Story/D_2_2_6_4_003,"不過廢物就是廢物，兩個加起來一樣不管用。"
Story/D_2_2_6_4_002,"兩個廢物，還敢浪費我們時間。"
Story/D_2_2_6_4_001,"哇啊！"
Story/D_2_2_6_3_054,"咦──我也要打嗎？"
Story/D_2_2_6_3_053,"好，趙大哥，我助你！"
Story/D_2_2_6_3_052,"打到他們再也不會亂吵亂吠，我們才把他當人看待！"
Story/D_2_2_6_3_051,"二公子，請你來助我，我們一塊教訓這兩個狗眼看人低的傢伙！"
Story/D_2_2_6_3_050,"可惡，敬你好歹是外賓，才讓你三分，你這就得寸進尺啦！ 看我們南宮家拳的厲害！"
Story/D_2_2_6_3_049,"我要跟你拚了！我一定要跟你拚了！納命來！！"
Story/D_2_2_6_3_048,"怎樣，你祖宗有沒有罵你不肖啊，小娘子。"
Story/D_2_2_6_3_047,"真的活了！趙大哥，你太厲害啦！"
Story/D_2_2_6_3_046,"混蛋──！"
Story/D_2_2_6_3_045,"別緊張，他只是下去跟祖宗交代一下。 這種的踹一腳就回神了。"
Story/N_2_2_6_3_001,"你竟將人活活罵死了，簡直是張儀再世。 罵起人來完全不留情面，宛如會說人話的惡犬，驚天地兮泣鬼神。 佛門獅子吼，唐門瘋狗吠，合該並稱雙絕。"
Story/D_2_2_6_3_044,"怎、怎麼辦？出人命了！"
Story/D_2_2_6_3_043,"他死了！他被你給罵死了！"
Story/D_2_2_6_3_042,"說這些都已經太遲了，你這可悲的太監。 下去投胎吧，雖說我覺得以你這德行九成來世會當畜牲。 但是起碼比你這一世好點，畢竟畜生也不是每隻張口就吃屎或噴屎的。"
Story/D_2_2_6_3_041,"哈哈哈哈哈！對不起，但是真的太好笑了！"
Story/D_2_2_6_3_040,"你說什麼？你覺得你子孫不會刨你墳？ 豈有此理，就算你仗著自己會絕子絕孫，也不能胡作非為呀！ 你沒考慮過你之所以絕後就是因為不幹好事嗎！"
Story/D_2_2_6_3_039,"你──你──！！"
Story/D_2_2_6_3_038,"你祖宗都已經很氣你了，你還在這兒撒撥？ 是不是要把你後代子孫也氣到挖你墳頭你才甘心呀？ 你不想被後世子孫唾罵，就少幹這種欺善怕惡的缺德事！"
Story/D_2_2_6_3_037,"就算祖宗不爭氣，那也不打緊。 人要活得頂天立地，首先就要看得起自己，你如此自卑，奴顏卑屈， 不是祖宗對不起你，是你對不起祖宗，你怎麼還不下去跟祖宗磕頭？"
Story/T_2_2_6_3_006,"哦哦……！"
Story/D_2_2_6_3_036,"就是有你這種整日想作賤別人，撫慰自己心靈的可悲傢伙。 說穿了這不就是自卑心作祟嗎？你有本事去作賤自家祖墳啊。 又不是別人害你淪為下人的，是你自己祖宗不爭氣！"
Story/D_2_2_6_3_035,"外姓弟子想不幹就可以隨時不幹，你呢？ 你賣身契拿在人手頭，和我怎能同日而語？"
Story/D_2_2_6_3_034,"別亂攀關係，誰是你朋友？ 我可是名帖上有簽字，包了禮過來赴宴的客人！"
Story/D_2_2_6_3_033,"這位唐門的朋友，你是和唐大俠一塊過來伺候的外姓弟子吧？ 你擅闖南宮家內院，究竟想幹什麼？"
Story/D_2_2_6_3_032,"嘴攻？是像獅子吼那樣的嗎？"
Story/D_2_2_6_3_031,"也不是，我這種癢，是必須對人口出惡言，不吐不快的那種癢。 二公子請讓一下，避免我這嘴攻傷及無辜。"
Story/D_2_2_6_3_030,"這……可是席間酒菜招待不週嗎？"
Story/D_2_2_6_3_029,"不是，我嘴巴癢，所以過來了。"
Story/D_2_2_6_3_028,"啊，你好，我叫南宮淺。 趙大哥可是要找茅房嗎？"
Story/D_2_2_6_3_027,"二公子好，我是唐門中人，名叫趙活。"
Story/T_2_2_6_3_005,"呼──好沉啊，螢姊這些都不知是什麼寶貝。"
Story/O_2_2_6_3_002,"出聲責問家丁尊卑不分"
Story/D_2_2_6_3_026,"本來還想息事寧人，你既然先動手，那就別怪我不客氣了！"
Story/D_2_2_6_3_025,"推你又怎樣？我就算在南宮家院子裡打了你，也沒人會說我不是。 你若不想討打，就少管閒事，滾遠點去。"
Story/D_2_2_6_3_024,"別動手動腳亂推人，我自幫二公子的忙，哪裡礙著你了？"
Story/D_2_2_6_3_023,"姓趙的，可別敬酒不吃吃罰酒，長這麼醜怪還敢在這充英雄。"
Story/D_2_2_6_3_022,"……！好！"
Story/D_2_2_6_3_021,"那我們手腳麻利點，搬完回大廳吧。"
Story/D_2_2_6_3_020,"是，之後主母和管家會過來點，再依長幼分送給族人。"
Story/D_2_2_6_3_019,"我本也以為南宮世家是很講禮數的地方，如今一見，呵呵。 二公子，剩下那些禮物，就似你這樣搬到中井就好了嗎？"
Story/D_2_2_6_3_018,"這位唐門的朋友，你是和唐大俠一塊過來伺候的外姓弟子吧？ 同為下人勸你一句，吃飽太撐想散步請往外走， 往人家內院裡闖，只怕不合禮數吧？誰知道你手腳乾不乾淨呢。"
Story/D_2_2_6_3_017,"你、你要幫我？"
Story/D_2_2_6_3_016,"不是，我吃得撐了，想起來走動走動消化一下， 看二公子在這裡身先士卒忙碌，心裡很佩服，也想來幫忙。"
Story/D_2_2_6_3_015,"啊，你好，我叫南宮淺。 趙大哥可是要找茅房嗎？"
Story/D_2_2_6_3_014,"二公子好，我是唐門中人，名叫趙活。"
Story/T_2_2_6_3_004,"呼──好沉啊，螢姊這些都不知是什麼寶貝。"
Story/T_2_2_6_3_003,"只要將勞動客人打雜的事情作實了，再適時抖出來， 南宮家的大人物們就知道二公子所受的委屈了。"
Story/T_2_2_6_3_002,"總之先去幫忙吧。"
Story/T_2_2_6_3_001,"南宮家的僕人，輪不到我這個別派的外姓弟子來教訓。"
Story/O_2_2_6_3_001,"上前幫忙南宮淺"
Story/D_2_2_6_3_013,"我悟了！回頭就這樣對付大師兄！"
Story/D_2_2_6_3_012,"這什麼世道，居然還有家僕欺到少爺頭上的？"
Story/D_2_2_6_3_011,"我搬，我搬就是了！"
Story/D_2_2_6_3_010,"別傻笑，快搬啊，你不麻利點把事情辦好，是不用想走的喔。 你要是不肯搬，我就把你偷穿肩甲的事，告訴老爺！"
Story/D_2_2_6_3_009,"嘿嘿。"
Story/D_2_2_6_3_008,"唉，憑什麼就你這麼好命呢，平白賴上了一個大靠山老爸。 吃香喝辣，當了二少爺，阿乙我要是也能冠上南宮家姓──嘿嘿。 南宮乙！那可有多威風。"
Story/D_2_2_6_3_007,"沒、沒有，我哪有這樣說。"
Story/D_2_2_6_3_006,"胡說什麼，老爺交代給你的膳食，和大公子是一樣的。 你莫非是懷疑老爺偏心，還是質疑大少爺欺負你？又或者伙房阿叔？ 我知道了──你是覺得阿乙和阿丙我偷吃了你的飯菜吧？"
Story/D_2_2_6_3_005,"我吃得不多啊，每次飯菜都是……剩的。"
Story/D_2_2_6_3_004,"二公子，你每日雞鴨魚肉吃得不少啊，怎麼沒長點力氣呢。 你來來去去搬的這些，阿乙我一隻手便能辦好了。 你不也是市井出生，知道苦日子的嗎？怎能如此嬌氣。"
Story/D_2_2_6_3_003,"阿乙，阿丙，我幫忙了這許多，應該差不多了吧？ 我、我還得回前面招呼客人，要不然爹會生氣的。"
Story/D_2_2_6_3_002,"咦，那邊是怎麼回事？二公子也在搬禮物？ 不，仔細一看，是二公子在搬，其他家丁在旁觀。"
Story/D_2_2_6_3_001,"……我不是客人嗎？焉有是理？唉。"
Story/N_2_2_6_2_007,"你碰上了一個很想知道他高姓大名的奇妙家丁，有理說不清， 被他一陣搶白，推到後院去幹活了。"
Story/D_2_2_6_2_041,"並沒有。我乃爹生娘養獨一無二的我，你只是不知道我名字罷了。 就像我也不知道你名字同一個道理，我看你就一臉路人樣。 你若想瞧輕我，我就會搶先瞧輕你。"
Story/D_2_2_6_2_040,"南宮家的家丁都像你這樣嗎？"
Story/D_2_2_6_2_039,"要不然算我拜託你啦，你們大俠最愛助人為樂了， 何況那上官大小姐如此美貌，你有機會多看幾眼，豈不是你的造化？ 說來你還應該感謝我咧，走啦，走啦。"
Story/D_2_2_6_2_038,"老兄，你也真是奇人，竟然有這種要脅法。"
Story/D_2_2_6_2_037,"同樣都是下人，擔待一下，分什麼你我啦！ 等下事情沒辦好，我被揪出來挨罵，還不是怪你唐門！ 我不只怪你大師兄，我還怪你都不幫忙！"
Story/D_2_2_6_2_036,"哦，好……可是老兄，我和你不熟吧？為何要我去？ 我好歹也算是客人耶。"
Story/D_2_2_6_2_035,"算了，我要去更衣，你替我去後院整頓一下上官大小姐的禮物。"
Story/D_2_2_6_2_034,"呃……雖然不是我弄的，不過抱歉。"
Story/D_2_2_6_2_033,"我要是敢跟他抱怨，我來找你幹嘛？"
Story/D_2_2_6_2_032,"那你去怪他啊！跟我講幹嘛。"
Story/D_2_2_6_2_031,"你、你是唐門的對吧？ 你大師兄喝到吐了，吐我一身穢物！還害得我還被大公子訓斥！"
Story/D_2_2_6_2_030,"怎麼了？"
Story/D_2_2_6_2_029,"老兄，你別走！"
Story/D_2_2_6_2_028,"……算了，吃我的飯去吧。"
Story/N_2_2_6_2_006,"告子有云：食色性也，美色既然求之不可得，那不妨多吃點。 你低頭扒飯，心想這回力擒譚霸刀，那是拚了性命才僥倖辦成的大事， 不多吃點簡直對不起天地良心。"
Story/D_2_2_6_2_027,"……算了，吃我的飯吧。"
Story/N_2_2_6_2_005,"隨即陷入深深的自我懷疑之中。"
Story/T_2_2_6_2_010,"我是不是……很久沒長高了？ 我還會再長高嗎？"
Story/N_2_2_6_2_004,"小師妹試著把腳蹬直，"
Story/D_2_2_6_2_026,"那位紫衣服的上官姊姊長好高，真好看。"
Story/T_2_2_6_2_009,"雖算得上是秀麗佳人，卻非我心上所屬。"
Story/O_2_2_6_2_002,"(還行吧)"
Story/T_2_2_6_2_008,"心臟痛痛的，吃太多了嗎？"
Story/T_2_2_6_2_007,"……？"
Story/D_2_2_6_2_025,"……。"
Story/T_2_2_6_2_006,"這位上官姑娘好生美貌。而且落落大方，英氣逼人， 與生平所見其他女子均自不同，真令人欽佩。"
Story/O_2_2_6_2_001,"(很漂亮)"
Story/N_2_2_6_2_003,"你覺得上官螢"
Story/D_2_2_6_2_024,"那位便是上官世家的獨生千金上官螢嗎？"
Story/T_2_2_6_2_005,"心臟痛痛的，吃太多了嗎？"
Story/T_2_2_6_2_004,"……？"
Story/D_2_2_6_2_023,"……。"
Story/T_2_2_6_2_003,"別想了，這本來就是非分之想，要不得的。"
Story/T_2_2_6_2_002,"怎麼心情酸溜溜的……覺得想哭。"
Story/T_2_2_6_2_001,"上官姑娘也來了，那是當然了。 這可是她未來夫家。"
Story/D_2_2_6_2_022,"別想了你。 天下只有像南宮大公子那般家世、品貌、武功完美無缺的佳公子， 有幸娶得這樣的美人。"
Story/D_2_2_6_2_021,"好英氣的人兒，好香，啊～不行不行，簡直亂我道心。"
Story/N_2_2_6_2_002,"廳上眾賓之中，無論男女，倒有一半視線緊緊追隨著上官螢， 直到她轉入廊道，身影消失為止。"
Story/D_2_2_6_2_020,"是，公子。 那麼爺爺，螢兒先指揮下人將前院放不下的禮物都送進內院。 稍後沐浴更衣，待賓客散去，再向您叩頭請安。"
Story/D_2_2_6_2_019,"是，爺爺。螢兒，妳跟我來吧。"
Story/D_2_2_6_2_018,"別對你將來媳婦兒狠霸霸的，螢兒也沒說錯，是爺爺想岔了。 她是你未過門的妻子，爺爺捨不得讓她在外人面前拋頭露面， 你且將螢兒帶下去，說些體己話，她一路上風塵僕僕，想必也累了。"
Story/D_2_2_6_2_017,"啊，公子……妾身……。"
Story/D_2_2_6_2_016,"螢兒，妳怎麼跟爺爺說話的？"
Story/D_2_2_6_2_015,"啊……。"
Story/D_2_2_6_2_014,"爺爺，您老健忘了。 家父得官家聖旨任為御船監造，如今已是官身，不算江湖人了。 上官世家千萬個願意助您築夢，但若攪和在其中，只怕反會添亂。"
Story/D_2_2_6_2_013,"方才爺爺正說著大事呢，妳便來了，正好，爺爺問妳……。"
Story/D_2_2_6_2_012,"謝謝爺爺體恤，螢兒很好，健壯的很。"
Story/D_2_2_6_2_011,"唉，說什麼晦氣，都是老朽的罪過，早知便不催妳了。 萬幸我的好孫媳婦，一根汗毛未損。"
Story/D_2_2_6_2_010,"……螢兒給了家屬撫恤金，一切都已打點好了。 今早來得匆忙，只得匆匆洗漱，以艾草薰香淨身，想來不會招惹晦氣的。"
Story/D_2_2_6_2_009,"唉唷，可有人受傷嗎？"
Story/D_2_2_6_2_008,"對不住，螢兒此行所攜禮物太多， 半路上遇著大雨，山路濕滑，又趕得急，令一輛馬車滑落山坡。 為了尋回散落的珠寶，這才耽擱了。"
Story/D_2_2_6_2_007,"好孩子，妳可來了，怎麼那麼遲呀。"
Story/D_2_2_6_2_006,"南宮伯伯，南宮爺爺，螢兒給您們請安。 恭賀爺爺百歲大壽，祝您老人家福如東海，壽比南山。"
Story/D_2_2_6_2_005,"上官世家千金大小姐上官螢──到──"
Story/D_2_2_6_2_004,"早說啊，是上官小娘子，那自然另當別論。走了走了。"
